ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:1904659	D-glucose transmembrane transport	11/305	112/18860	0.09821428571428571	6.073185011709602	6.903844647655799	2.035078533981248e-6	2.1274397905234738e-4	1.533037567703553e-4	32/10580/3952/9370/55022/23433/81031/5584/3479/2171/5781	11
GO:0032355	response to estradiol	11/305	113/18860	0.09734513274336283	6.019440011605977	6.86131520274488	2.2225215779858232e-6	2.2466986113077824e-4	1.618975723677116e-4	3952/2690/2146/847/5111/2879/1956/1843/10628/3184/2876	11
GO:0045765	regulation of angiogenesis	20/305	365/18860	0.0547945205479452	3.3882775656860544	5.907215765728227	2.259373143576627e-6	2.2466986113077824e-4	1.618975723677116e-4	5140/51129/5468/3952/28984/948/9444/23328/64102/9314/1003/5176/2247/7122/28996/9510/4192/8434/1634/10365	20
GO:0014856	skeletal muscle cell proliferation	6/305	25/18860	0.24	14.840655737704918	8.8781530822840935	2.3277750911569636e-6	2.2596045349159382e-4	1.6282757592529036e-4	858/284/2247/10403/4602/2353	6
GO:0008643	carbohydrate transport	12/305	138/18860	0.08695652173913043	5.377049180327869	6.616428439110306	2.554196237355542e-6	2.4217344324880337e-4	1.7451069029276176e-4	32/10580/3952/9370/55022/23433/81031/5584/360/3479/2171/5781	12
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	15/305	217/18860	0.06912442396313365	4.274382412933445	6.219853229541799	2.656623223086429e-6	2.4616029273916753e-4	1.7738362238359386e-4	3952/2625/8644/10979/284/9270/847/3479/2247/4915/1956/2335/5781/1634/2876	15
GO:0007229	integrin-mediated signaling pathway	11/305	117/18860	0.09401709401709402	5.813647190696371	6.696168984657273	3.1324045101934436e-6	2.83795848623526e-4	2.04503882759062e-4	3679/10979/9270/8613/81031/9510/2335/5781/4811/3672/667	11
GO:1902893	regulation of miRNA transcription	9/305	75/18860	0.12	7.420327868852459	7.14267697024658	3.3137315348083824e-6	2.936974666829082e-4	2.1163900946567953e-4	5468/2625/3725/9314/6597/2247/4602/1956/2353	9
GO:0009410	response to xenobiotic stimulus	22/305	443/18860	0.04966139954853273	3.070865558968286	5.654876114600606	3.5064084029372227e-6	3.041622778462778e-4	2.1917997430230207e-4	5950/32/999/2625/9370/1645/5138/2354/4646/2180/847/3725/217/5111/1050/6507/13/2353/10628/4192/18/2876	22
GO:0008645	hexose transmembrane transport	11/305	119/18860	0.09243697478991597	5.715938834550214	6.616434760800906	3.6989439141908354e-6	3.0836430263477606e-4	2.222079621635258e-4	32/10580/3952/9370/55022/23433/81031/5584/3479/2171/5781	11
